This tweet has been brought to you by:,1
@Joey_Crakk yup. Forreal this time,0
\u201c@_StrictlySoccer: Di Maria plays beautiful.\u201d,0
@The_Road_Guy iiiiiit's noooooot?!?!? #Sarcasm,1
Another rainy race day,1
Ayyyyy messiiiiiiiii,0
One minute up one minute passed out,0
@FOXSports1 Can't watch your streaming app with a DirecTV sub,1
@newscientist OMG,1
@cesar22ortiz where's billy hahaha,0
@PepperHeartsU You know because all men like rape right? #sarcasm,1
Gattis just homered,1
@willfortini @michelpcastro se ele falasse que foi um gol Messi at\u00e9 da pra aceitar http:\/\/t.co\/P7JNmbkVUW,0
@ToriMininniiiii hahahaha,0
The sketchy night are the best #sarcasm or nah?,1
-- You are winning at life if you stumble into my work with your paramour reeking of booze at 10.30AM #Sarcasm,1
Our biggest gig yet! Thanks everyone for coming out #sarcasm http://t.co/BApa9tZIht,1
@AndrewMilne9 Yeh that ball in from Rooney for their goal was rubbish \ud83d\ude10 ... #shortmemory #bagger #couldntcrosstheroad #sarcasm,1
What a strike #WorldCup2014 #SCtop10 #ARGvsBIH,0
Anyone got an opinion about the football? #sarcasm,1
@TheSuarezNutmeg #sarcasm,1
tomorrow I have an english and science exam,1
An excellent set of travelling companions #latergram @ Marcy Avenue http:\/\/t.co\/MBWWxppvwp,0
Who woulda guessed?!?! #sarcasm,1
@BadAstronomer All numbers should be quoted in natural units! #theory #sarcasm,1
,1
Can't sleep at 3 A.M. ..wonderful,1
Up at 5am to catch a plane. Wooooh this is fun! #sarcasm #atitshighest,1
Finally!!! Way long overdue!!! Messi!!! #ARGvsBIH #WorldCup,0
#HeatNation,0
Me in the bustling sports bar where I'm watching the game. #sarcasm http://t.co/jJ3lEXpp3L,1
Rule #1: don't give Messi too much space,0
Damn it,0
Lobster and steak I could eat everyday \ud83d\ude0b,0
22 People Who Tried Things On Pinterest &amp; Totally 'NAILED IT'! http://t.co/7Mdzb2QDBz #nailedit #sarcasm #pinterest #pinterestfail #DIYfail,1
Hey,1
Cause all of me loves all of you \ud83c\udfb6,0
I'm glad I really have friends and a social life #sarcasm,1
God Bless America...Land of Guns Guns &amp; More Guns. Can't have enough guns! #sarcasm #gunsense @MomsDemand @Everytown http://t.co/AqJIL7PrMn,1
@Aetna_medina I know! That shits 'cray!' #Sarcasm,1
K http:\/\/t.co\/3gNtRZN5SK,0
This is the lamest Friday night I've had in quite some time.,1
Working on my next two articles right now \ud83d\udc83,0
You know cheese is real when you put it in the microwave for 1 minute and it doesn't melt. #sarcasm,1
My weekend &gt;&gt;&gt;&gt;&gt;&gt; yours,0
\u201c@BoyOnCrack: SHOVEL GIRL IS AFTER ME NOW YAAAAAA https:\/\/t.co\/KHGVdUt4EW\u201d @ImMatotty,0
Does anyone ever get the urge to go to a pet store and just pet all them cuties. I want to hug a bunny and play with kittens,0
Like why http:\/\/t.co\/QcF4i4t809,0
San Antonio is a classy place.....#sarcasm #Ibiza,1
Thank god #ARGvsBIH,0
Yea you guys were right. Polanco wouldn't of helped us out this year.. #sarcasm,1
I just want to punch someone in the face,0
being ignored is my favorite thing #sarcasm,1
Woke up to the best conversation with Cody,1
